,id,track,artist,genre,year,bpm,energy,danceability,loudness,liveness,valence,track_length,acousticness,speechiness,popularity,image
6,688,Shape of You,Ed Sheeran,pop,2017,96,65,83,-3,9,93,234,58,8,87,pins/688/5.jpg
6,688,Shape of You,Ed Sheeran,pop,2017,96,65,83,-3,9,93,234,58,8,87,pins/688/6.jpg
6,688,Shape of You,Ed Sheeran,pop,2017,96,65,83,-3,9,93,234,58,8,87,pins/688/7.jpg
6,688,Shape of You,Ed Sheeran,pop,2017,96,65,83,-3,9,93,234,58,8,87,pins/688/8.jpg
6,688,Shape of You,Ed Sheeran,pop,2017,96,65,83,-3,9,93,234,58,8,87,pins/688/9.jpg
6,688,Shape of You,Ed Sheeran,pop,2017,96,65,83,-3,9,93,234,58,8,87,pins/688/10.jpg
7,746,High Hopes,Panic! At The Disco,baroque pop,2018,82,90,58,-3,6,68,191,19,6,87,pins/746/0.jpg
7,746,High Hopes,Panic! At The Disco,baroque pop,2018,82,90,58,-3,6,68,191,19,6,87,pins/746/1.jpg
7,746,High Hopes,Panic! At The Disco,baroque pop,2018,82,90,58,-3,6,68,191,19,6,87,pins/746/2.jpg
7,746,High Hopes,Panic! At The Disco,baroque pop,2018,82,90,58,-3,6,68,191,19,6,87,pins/746/3.jpg
7,746,High Hopes,Panic! At The Disco,baroque pop,2018,82,90,58,-3,6,68,191,19,6,87,pins/746/4.jpg
7,746,High Hopes,Panic! At The Disco,baroque pop,2018,82,90,58,-3,6,68,191,19,6,87,pins/746/5.jpg
7,746,High Hopes,Panic! At The Disco,baroque pop,2018,82,90,58,-3,6,68,191,19,6,87,pins/746/6.jpg
7,746,High Hopes,Panic! At The Disco,baroque pop,2018,82,90,58,-3,6,68,191,19,6,87,pins/746/7.jpg
8,530,All of Me,John Legend,neo mellow,2013,120,26,42,-7,13,33,270,92,3,86,pins/530/0.jpg
8,530,All of Me,John Legend,neo mellow,2013,120,26,42,-7,13,33,270,92,3,86,pins/530/1.jpg
8,530,All of Me,John Legend,neo mellow,2013,120,26,42,-7,13,33,270,92,3,86,pins/530/2.jpg
8,530,All of Me,John Legend,neo mellow,2013,120,26,42,-7,13,33,270,92,3,86,pins/530/3.jpg
8,530,All of Me,John Legend,neo mellow,2013,120,26,42,-7,13,33,270,92,3,86,pins/530/4.jpg
8,530,All of Me,John Legend,neo mellow,2013,120,26,42,-7,13,33,270,92,3,86,pins/530/5.jpg
8,530,All of Me,John Legend,neo mellow,2013,120,26,42,-7,13,33,270,92,3,86,pins/530/6.jpg
8,530,All of Me,John Legend,neo mellow,2013,120,26,42,-7,13,33,270,92,3,86,pins/530/7.jpg
8,530,All of Me,John Legend,neo mellow,2013,120,26,42,-7,13,33,270,92,3,86,pins/530/8.jpg
8,530,All of Me,John Legend,neo mellow,2013,120,26,42,-7,13,33,270,92,3,86,pins/530/9.jpg
8,530,All of Me,John Legend,neo mellow,2013,120,26,42,-7,13,33,270,92,3,86,pins/530/10.jpg
9,707,Thunder,Imagine Dragons,modern rock,2017,168,82,61,-5,15,29,187,1,4,86,pins/707/0.jpg
9,707,Thunder,Imagine Dragons,modern rock,2017,168,82,61,-5,15,29,187,1,4,86,pins/707/1.jpg
9,707,Thunder,Imagine Dragons,modern rock,2017,168,82,61,-5,15,29,187,1,4,86,pins/707/2.jpg
9,707,Thunder,Imagine Dragons,modern rock,2017,168,82,61,-5,15,29,187,1,4,86,pins/707/3.jpg
9,707,Thunder,Imagine Dragons,modern rock,2017,168,82,61,-5,15,29,187,1,4,86,pins/707/4.jpg
9,707,Thunder,Imagine Dragons,modern rock,2017,168,82,61,-5,15,29,187,1,4,86,pins/707/5.jpg
9,707,Thunder,Imagine Dragons,modern rock,2017,168,82,61,-5,15,29,187,1,4,86,pins/707/6.jpg
9,707,Thunder,Imagine Dragons,modern rock,2017,168,82,61,-5,15,29,187,1,4,86,pins/707/7.jpg
9,707,Thunder,Imagine Dragons,modern rock,2017,168,82,61,-5,15,29,187,1,4,86,pins/707/8.jpg
9,707,Thunder,Imagine Dragons,modern rock,2017,168,82,61,-5,15,29,187,1,4,86,pins/707/9.jpg
9,707,Thunder,Imagine Dragons,modern rock,2017,168,82,61,-5,15,29,187,1,4,86,pins/707/10.jpg
10,775,One Kiss (with Dua Lipa),Calvin Harris,dance pop,2018,124,86,79,-3,8,59,215,4,11,86,pins/775/0.jpg
10,775,One Kiss (with Dua Lipa),Calvin Harris,dance pop,2018,124,86,79,-3,8,59,215,4,11,86,pins/775/1.jpg
10,775,One Kiss (with Dua Lipa),Calvin Harris,dance pop,2018,124,86,79,-3,8,59,215,4,11,86,pins/775/2.jpg
10,775,One Kiss (with Dua Lipa),Calvin Harris,dance pop,2018,124,86,79,-3,8,59,215,4,11,86,pins/775/3.jpg
10,775,One Kiss (with Dua Lipa),Calvin Harris,dance pop,2018,124,86,79,-3,8,59,215,4,11,86,pins/775/4.jpg
10,775,One Kiss (with Dua Lipa),Calvin Harris,dance pop,2018,124,86,79,-3,8,59,215,4,11,86,pins/775/5.jpg
10,775,One Kiss (with Dua Lipa),Calvin Harris,dance pop,2018,124,86,79,-3,8,59,215,4,11,86,pins/775/6.jpg
10,775,One Kiss (with Dua Lipa),Calvin Harris,dance pop,2018,124,86,79,-3,8,59,215,4,11,86,pins/775/7.jpg
10,775,One Kiss (with Dua Lipa),Calvin Harris,dance pop,2018,124,86,79,-3,8,59,215,4,11,86,pins/775/8.jpg
10,775,One Kiss (with Dua Lipa),Calvin Harris,dance pop,2018,124,86,79,-3,8,59,215,4,11,86,pins/775/9.jpg
11,523,Wake Me Up,Avicii,big room,2013,124,78,53,-6,16,64,247,0,5,85,pins/523/0.jpg
11,523,Wake Me Up,Avicii,big room,2013,124,78,53,-6,16,64,247,0,5,85,pins/523/1.jpg
11,523,Wake Me Up,Avicii,big room,2013,124,78,53,-6,16,64,247,0,5,85,pins/523/2.jpg
11,523,Wake Me Up,Avicii,big room,2013,124,78,53,-6,16,64,247,0,5,85,pins/523/3.jpg
11,523,Wake Me Up,Avicii,big room,2013,124,78,53,-6,16,64,247,0,5,85,pins/523/4.jpg
11,523,Wake Me Up,Avicii,big room,2013,124,78,53,-6,16,64,247,0,5,85,pins/523/5.jpg
11,523,Wake Me Up,Avicii,big room,2013,124,78,53,-6,16,64,247,0,5,85,pins/523/6.jpg
11,523,Wake Me Up,Avicii,big room,2013,124,78,53,-6,16,64,247,0,5,85,pins/523/7.jpg
11,523,Wake Me Up,Avicii,big room,2013,124,78,53,-6,16,64,247,0,5,85,pins/523/8.jpg
11,523,Wake Me Up,Avicii,big room,2013,124,78,53,-6,16,64,247,0,5,85,pins/523/9.jpg
11,523,Wake Me Up,Avicii,big room,2013,124,78,53,-6,16,64,247,0,5,85,pins/523/10.jpg
12,618,The Less I Know The Better,Tame Impala,australian psych,2015,117,74,64,-4,17,79,216,1,3,85,pins/618/0.jpg
12,618,The Less I Know The Better,Tame Impala,australian psych,2015,117,74,64,-4,17,79,216,1,3,85,pins/618/1.jpg
12,618,The Less I Know The Better,Tame Impala,australian psych,2015,117,74,64,-4,17,79,216,1,3,85,pins/618/2.jpg
12,618,The Less I Know The Better,Tame Impala,australian psych,2015,117,74,64,-4,17,79,216,1,3,85,pins/618/3.jpg
12,618,The Less I Know The Better,Tame Impala,australian psych,2015,117,74,64,-4,17,79,216,1,3,85,pins/618/4.jpg
12,618,The Less I Know The Better,Tame Impala,australian psych,2015,117,74,64,-4,17,79,216,1,3,85,pins/618/5.jpg
12,618,The Less I Know The Better,Tame Impala,australian psych,2015,117,74,64,-4,17,79,216,1,3,85,pins/618/6.jpg
12,618,The Less I Know The Better,Tame Impala,australian psych,2015,117,74,64,-4,17,79,216,1,3,85,pins/618/7.jpg
12,618,The Less I Know The Better,Tame Impala,australian psych,2015,117,74,64,-4,17,79,216,1,3,85,pins/618/8.jpg
12,618,The Less I Know The Better,Tame Impala,australian psych,2015,117,74,64,-4,17,79,216,1,3,85,pins/618/9.jpg
12,618,The Less I Know The Better,Tame Impala,australian psych,2015,117,74,64,-4,17,79,216,1,3,85,pins/618/10.jpg
13,752,Someone You Loved,Lewis Capaldi,pop,2018,110,41,50,-6,11,45,182,75,3,85,pins/752/0.jpg
13,752,Someone You Loved,Lewis Capaldi,pop,2018,110,41,50,-6,11,45,182,75,3,85,pins/752/1.jpg
13,752,Someone You Loved,Lewis Capaldi,pop,2018,110,41,50,-6,11,45,182,75,3,85,pins/752/2.jpg
13,752,Someone You Loved,Lewis Capaldi,pop,2018,110,41,50,-6,11,45,182,75,3,85,pins/752/3.jpg
13,752,Someone You Loved,Lewis Capaldi,pop,2018,110,41,50,-6,11,45,182,75,3,85,pins/752/4.jpg
13,752,Someone You Loved,Lewis Capaldi,pop,2018,110,41,50,-6,11,45,182,75,3,85,pins/752/5.jpg
13,752,Someone You Loved,Lewis Capaldi,pop,2018,110,41,50,-6,11,45,182,75,3,85,pins/752/6.jpg
13,752,Someone You Loved,Lewis Capaldi,pop,2018,110,41,50,-6,11,45,182,75,3,85,pins/752/7.jpg
13,752,Someone You Loved,Lewis Capaldi,pop,2018,110,41,50,-6,11,45,182,75,3,85,pins/752/8.jpg
13,752,Someone You Loved,Lewis Capaldi,pop,2018,110,41,50,-6,11,45,182,75,3,85,pins/752/9.jpg
13,752,Someone You Loved,Lewis Capaldi,pop,2018,110,41,50,-6,11,45,182,75,3,85,pins/752/10.jpg
14,773,Havana (feat. Young Thug),Camila Cabello,dance pop,2018,105,52,77,-4,13,39,217,18,3,85,pins/773/0.jpg
14,773,Havana (feat. Young Thug),Camila Cabello,dance pop,2018,105,52,77,-4,13,39,217,18,3,85,pins/773/1.jpg
14,773,Havana (feat. Young Thug),Camila Cabello,dance pop,2018,105,52,77,-4,13,39,217,18,3,85,pins/773/2.jpg
15,785,Last Christmas,Wham!,dance rock,2019,108,58,74,-9,18,94,265,19,3,85,pins/785/0.jpg
15,785,Last Christmas,Wham!,dance rock,2019,108,58,74,-9,18,94,265,19,3,85,pins/785/1.jpg
15,785,Last Christmas,Wham!,dance rock,2019,108,58,74,-9,18,94,265,19,3,85,pins/785/2.jpg
15,785,Last Christmas,Wham!,dance rock,2019,108,58,74,-9,18,94,265,19,3,85,pins/785/3.jpg
15,785,Last Christmas,Wham!,dance rock,2019,108,58,74,-9,18,94,265,19,3,85,pins/785/4.jpg
15,785,Last Christmas,Wham!,dance rock,2019,108,58,74,-9,18,94,265,19,3,85,pins/785/5.jpg
15,785,Last Christmas,Wham!,dance rock,2019,108,58,74,-9,18,94,265,19,3,85,pins/785/6.jpg
15,785,Last Christmas,Wham!,dance rock,2019,108,58,74,-9,18,94,265,19,3,85,pins/785/7.jpg
15,785,Last Christmas,Wham!,dance rock,2019,108,58,74,-9,18,94,265,19,3,85,pins/785/8.jpg
15,785,Last Christmas,Wham!,dance rock,2019,108,58,74,-9,18,94,265,19,3,85,pins/785/9.jpg
15,785,Last Christmas,Wham!,dance rock,2019,108,58,74,-9,18,94,265,19,3,85,pins/785/10.jpg
16,418,Christmas Lights,Coldplay,permanent wave,2010,131,42,31,-9,8,24,242,13,3,84,pins/418/0.jpg
16,418,Christmas Lights,Coldplay,permanent wave,2010,131,42,31,-9,8,24,242,13,3,84,pins/418/1.jpg
16,418,Christmas Lights,Coldplay,permanent wave,2010,131,42,31,-9,8,24,242,13,3,84,pins/418/2.jpg
16,418,Christmas Lights,Coldplay,permanent wave,2010,131,42,31,-9,8,24,242,13,3,84,pins/418/3.jpg
16,418,Christmas Lights,Coldplay,permanent wave,2010,131,42,31,-9,8,24,242,13,3,84,pins/418/4.jpg
16,418,Christmas Lights,Coldplay,permanent wave,2010,131,42,31,-9,8,24,242,13,3,84,pins/418/5.jpg
16,418,Christmas Lights,Coldplay,permanent wave,2010,131,42,31,-9,8,24,242,13,3,84,pins/418/6.jpg
16,418,Christmas Lights,Coldplay,permanent wave,2010,131,42,31,-9,8,24,242,13,3,84,pins/418/7.jpg
16,418,Christmas Lights,Coldplay,permanent wave,2010,131,42,31,-9,8,24,242,13,3,84,pins/418/5.jpg
16,418,Christmas Lights,Coldplay,permanent wave,2010,131,42,31,-9,8,24,242,13,3,84,pins/418/9.jpg
16,418,Christmas Lights,Coldplay,permanent wave,2010,131,42,31,-9,8,24,242,13,3,84,pins/418/10.jpg
17,462,Pumped Up Kicks,Foster The People,indie pop,2011,128,71,73,-6,10,97,240,14,3,84,pins/462/0.jpg
17,462,Pumped Up Kicks,Foster The People,indie pop,2011,128,71,73,-6,10,97,240,14,3,84,pins/462/1.jpg
17,462,Pumped Up Kicks,Foster The People,indie pop,2011,128,71,73,-6,10,97,240,14,3,84,pins/462/2.jpg
17,462,Pumped Up Kicks,Foster The People,indie pop,2011,128,71,73,-6,10,97,240,14,3,84,pins/462/3.jpg
17,462,Pumped Up Kicks,Foster The People,indie pop,2011,128,71,73,-6,10,97,240,14,3,84,pins/462/4.jpg
17,462,Pumped Up Kicks,Foster The People,indie pop,2011,128,71,73,-6,10,97,240,14,3,84,pins/462/5.jpg
17,462,Pumped Up Kicks,Foster The People,indie pop,2011,128,71,73,-6,10,97,240,14,3,84,pins/462/6.jpg
17,462,Pumped Up Kicks,Foster The People,indie pop,2011,128,71,73,-6,10,97,240,14,3,84,pins/462/7.jpg
17,462,Pumped Up Kicks,Foster The People,indie pop,2011,128,71,73,-6,10,97,240,14,3,84,pins/462/8.jpg
17,462,Pumped Up Kicks,Foster The People,indie pop,2011,128,71,73,-6,10,97,240,14,3,84,pins/462/9.jpg
17,462,Pumped Up Kicks,Foster The People,indie pop,2011,128,71,73,-6,10,97,240,14,3,84,pins/462/10.jpg
18,566,Thinking out Loud,Ed Sheeran,pop,2014,79,45,78,-6,18,59,282,47,3,84,pins/566/0.jpg
18,566,Thinking out Loud,Ed Sheeran,pop,2014,79,45,78,-6,18,59,282,47,3,84,pins/566/1.jpg
18,566,Thinking out Loud,Ed Sheeran,pop,2014,79,45,78,-6,18,59,282,47,3,84,pins/566/2.jpg
18,566,Thinking out Loud,Ed Sheeran,pop,2014,79,45,78,-6,18,59,282,47,3,84,pins/566/3.jpg
18,566,Thinking out Loud,Ed Sheeran,pop,2014,79,45,78,-6,18,59,282,47,3,84,pins/566/4.jpg
18,566,Thinking out Loud,Ed Sheeran,pop,2014,79,45,78,-6,18,59,282,47,3,84,pins/566/5.jpg
18,566,Thinking out Loud,Ed Sheeran,pop,2014,79,45,78,-6,18,59,282,47,3,84,pins/566/6.jpg
18,566,Thinking out Loud,Ed Sheeran,pop,2014,79,45,78,-6,18,59,282,47,3,84,pins/566/7.jpg
18,566,Thinking out Loud,Ed Sheeran,pop,2014,79,45,78,-6,18,59,282,47,3,84,pins/566/8.jpg
18,566,Thinking out Loud,Ed Sheeran,pop,2014,79,45,78,-6,18,59,282,47,3,84,pins/566/9.jpg
18,566,Thinking out Loud,Ed Sheeran,pop,2014,79,45,78,-6,18,59,282,47,3,84,pins/566/10.jpg
19,578,Photograph,Ed Sheeran,pop,2014,108,38,61,-10,10,20,259,61,5,84,pins/578/0.jpg
19,578,Photograph,Ed Sheeran,pop,2014,108,38,61,-10,10,20,259,61,5,84,pins/578/1.jpg
19,578,Photograph,Ed Sheeran,pop,2014,108,38,61,-10,10,20,259,61,5,84,pins/578/2.jpg
19,578,Photograph,Ed Sheeran,pop,2014,108,38,61,-10,10,20,259,61,5,84,pins/578/3.jpg
19,578,Photograph,Ed Sheeran,pop,2014,108,38,61,-10,10,20,259,61,5,84,pins/578/4.jpg
19,578,Photograph,Ed Sheeran,pop,2014,108,38,61,-10,10,20,259,61,5,84,pins/578/5.jpg
19,578,Photograph,Ed Sheeran,pop,2014,108,38,61,-10,10,20,259,61,5,84,pins/578/6.jpg
19,578,Photograph,Ed Sheeran,pop,2014,108,38,61,-10,10,20,259,61,5,84,pins/578/7.jpg
19,578,Photograph,Ed Sheeran,pop,2014,108,38,61,-10,10,20,259,61,5,84,pins/578/8.jpg
19,578,Photograph,Ed Sheeran,pop,2014,108,38,61,-10,10,20,259,61,5,84,pins/578/9.jpg
19,578,Photograph,Ed Sheeran,pop,2014,108,38,61,-10,10,20,259,61,5,84,pins/578/10.jpg
20,592,Stay With Me,Sam Smith,pop,2014,84,42,42,-6,11,18,173,59,4,84,pins/592/0.jpg
20,592,Stay With Me,Sam Smith,pop,2014,84,42,42,-6,11,18,173,59,4,84,pins/592/1.jpg
20,592,Stay With Me,Sam Smith,pop,2014,84,42,42,-6,11,18,173,59,4,84,pins/592/2.jpg
20,592,Stay With Me,Sam Smith,pop,2014,84,42,42,-6,11,18,173,59,4,84,pins/592/3.jpg
20,592,Stay With Me,Sam Smith,pop,2014,84,42,42,-6,11,18,173,59,4,84,pins/592/4.jpg
20,592,Stay With Me,Sam Smith,pop,2014,84,42,42,-6,11,18,173,59,4,84,pins/592/5.jpg
20,592,Stay With Me,Sam Smith,pop,2014,84,42,42,-6,11,18,173,59,4,84,pins/592/6.jpg
20,592,Stay With Me,Sam Smith,pop,2014,84,42,42,-6,11,18,173,59,4,84,pins/592/7.jpg
20,592,Stay With Me,Sam Smith,pop,2014,84,42,42,-6,11,18,173,59,4,84,pins/592/8.jpg
20,592,Stay With Me,Sam Smith,pop,2014,84,42,42,-6,11,18,173,59,4,84,pins/592/9.jpg
20,592,Stay With Me,Sam Smith,pop,2014,84,42,42,-6,11,18,173,59,4,84,pins/592/10.jpg
21,706,Something Just Like This,The Chainsmokers,electropop,2017,103,64,62,-7,16,45,247,5,3,84,pins/706/0.jpg
21,706,Something Just Like This,The Chainsmokers,electropop,2017,103,64,62,-7,16,45,247,5,3,84,pins/706/1.jpg
21,706,Something Just Like This,The Chainsmokers,electropop,2017,103,64,62,-7,16,45,247,5,3,84,pins/706/2.jpg
21,706,Something Just Like This,The Chainsmokers,electropop,2017,103,64,62,-7,16,45,247,5,3,84,pins/706/3.jpg
21,706,Something Just Like This,The Chainsmokers,electropop,2017,103,64,62,-7,16,45,247,5,3,84,pins/706/4.jpg
21,706,Something Just Like This,The Chainsmokers,electropop,2017,103,64,62,-7,16,45,247,5,3,84,pins/706/5.jpg
21,706,Something Just Like This,The Chainsmokers,electropop,2017,103,64,62,-7,16,45,247,5,3,84,pins/706/6.jpg
21,706,Something Just Like This,The Chainsmokers,electropop,2017,103,64,62,-7,16,45,247,5,3,84,pins/706/7.jpg
21,706,Something Just Like This,The Chainsmokers,electropop,2017,103,64,62,-7,16,45,247,5,3,84,pins/706/8.jpg
21,706,Something Just Like This,The Chainsmokers,electropop,2017,103,64,62,-7,16,45,247,5,3,84,pins/706/9.jpg
21,706,Something Just Like This,The Chainsmokers,electropop,2017,103,64,62,-7,16,45,247,5,3,84,pins/706/10.jpg
22,740,Natural,Imagine Dragons,modern rock,2018,100,61,70,-6,8,22,189,22,4,84,pins/740/0.jpg
22,740,Natural,Imagine Dragons,modern rock,2018,100,61,70,-6,8,22,189,22,4,84,pins/740/1.jpg
22,740,Natural,Imagine Dragons,modern rock,2018,100,61,70,-6,8,22,189,22,4,84,pins/740/2.jpg
22,740,Natural,Imagine Dragons,modern rock,2018,100,61,70,-6,8,22,189,22,4,84,pins/740/3.jpg
22,740,Natural,Imagine Dragons,modern rock,2018,100,61,70,-6,8,22,189,22,4,84,pins/740/4.jpg
22,740,Natural,Imagine Dragons,modern rock,2018,100,61,70,-6,8,22,189,22,4,84,pins/740/5.jpg
22,740,Natural,Imagine Dragons,modern rock,2018,100,61,70,-6,8,22,189,22,4,84,pins/740/6.jpg
22,740,Natural,Imagine Dragons,modern rock,2018,100,61,70,-6,8,22,189,22,4,84,pins/740/7.jpg
22,740,Natural,Imagine Dragons,modern rock,2018,100,61,70,-6,8,22,189,22,4,84,pins/740/8.jpg
